23 Eylül Kuzey yarım kürede hangi mevsimin başlangıcıdır	hangi mevsimin	TEMPORAL	SEASON	Sonbahar		TEMPORAL
Akarsu aşındırması sonucunda meydana gelen deniz seviyesine yakın hafif dalgalı düzlüklere ne denir	düzlüklere denir	DESCRIPTION	DEFINITION	Yontukdüz/Peneplen		DESCRIPTION
Akarsuların taşıyarak oluşturdukları topraklara ne ad verilir	topraklara ad	DESCRIPTION	DEFINITION	Alüvyal Topraklar.		DESCRIPTION
Akarsuyun denize döküldüğü yere ne denir	yere denir	DESCRIPTION	DEFINITION	Akarsu ağzı		DESCRIPTION
Akarsuyun doğduğu yere ne ad verilir	yere ad	DESCRIPTION	DEFINITION	Akarsu kaynağı		DESCRIPTION
Atmosferin en alt katmanında hangi tabaka vardır	hangi tabaka	ENTITY	OTHERS	Troposfer		ENTITY
Bakteriler ilk olarak hangi jeolojik zamanda ortaya çıkmıştır	hangi jeolojik zamanda	TEMPORAL	ERA	İlkel Zaman/Prekambriyen/Antekambriyen		TEMPORAL
Bir akarsuyun kolları ile birlikte oluşturduğu sisteme ne denir	sisteme denir	DESCRIPTION	DEFINITION	Akarsu ağı		DESCRIPTION
Bir akarsuyun kolları ile birlikte sularının toplandığı ve ya boşaltıldığı alana ne denir	alana denir	DESCRIPTION	DEFINITION	Akarsu havzası		DESCRIPTION
Birleşmiş Milletler Nüfus Vakfı’nın kısa adı nedir	Nüfus Vakfının adı	ABBREVIATION	ABBREVIATION	UNEPA		ABBREVIATION
Bitki ve hayvan topluluklarını inceleyen bilim dalı nedir	bilim dalı	DESCRIPTION	DEFINITION	Biyocoğrafya		ENTITY
Biyosfer'in diğer adı nedir	Biyosferin adı	ENTITY	OTHERS	Canlı Küre/Canlılar Küresi/Canlı Yüzey		ENTITY
Biyosferi ultraviyole ışınlarının zararlarından koruyan gaz hangisidir	gaz	ENTITY	SUBSTANCE	Ozon		ENTITY
Bofor ölçeği neyin şiddetinin ölçülmesinde kullanılır	neyin şiddetinin	ENTITY	ENTITY	Rüzgâr		ENTITY
Canlıların üzerinde yaşadığı katman hangisidir	katman	ENTITY	OTHERS	Litosfer/Yer kabuğu		ENTITY
Çarşamba deltasını oluşturan akarsu hangisidir	akarsu	ENTITY	RIVER	Yeşilırmak		ENTITY
Çayır ve otlakların en fazla olduğu bölgemiz hangisidir	bölgemiz	LOCATION	REGION.LOCAL	Doğu Anadolu		ENTITY
Coğrafi keşifler hangi yüzyılda başlamıştır	hangi yüzyılda	TEMPORAL	CENTURY	15.Yüzyıl		TEMPORAL
Coğrafi keşiflerin başlamasına hangi icat olanak sağlamıştır	hangi icat	ENTITY	INSTRUMENT	Pusula		ENTITY
Cumhuriyetten Sonra ilk nüfus sayımı ne zaman yapılmıştır	ne zaman yapılmıştır	TEMPORAL	DATE	28 Ekim 1927		TEMPORAL
Dev kazanı hangi dış güç tarafından oluşturulur	hangi dış güç	ENTITY	ENTITY	Akarsu		ENTITY
Dünyada ilk modern manada nüfus sayımları nerede yapılmıştır	nerede yapılmıştır	LOCATION	COUNTRY	İskandinav Ülkelerinde		LOCATION
Dünyada nüfusun en az olduğu kıta hangisidir	kıta	LOCATION	CONTINENT	Okyanusya		LOCATION
Dünyada nüfusun en çok olduğu kıta hangisidir	kıta	LOCATION	CONTINENT	Asya		LOCATION
Dünyanın nüfusu ne kadardır	nüfusu ne kadardır	NUMERIC	SIZE.POPULATION	Yaklaşık 7 Milyar		NUMERIC
Ege Denizi hangi jeolojik zamanda oluşmuştur	hangi jeolojik zamanda	TEMPORAL	ERA	IV.Zaman/Kuaterner		TEMPORAL
Göçlerin en önemli nedeni nedir	Göçlerin nedeni	DESCRIPTION	REASON	Ekonomik faktörlerdir		ENTITY
Göllerin fazla sularını boşaltan akarsulara ne denir	akarsulara denir	DESCRIPTION	DEFINITION	Gideğen/göl ayağı		DESCRIPTION
Gönüllü göçler üzerinde etkili olan faktörlere ne isim verilir	faktörlere isim	DESCRIPTION	DEFINITION	Çekici faktörler		DESCRIPTION
Haritaların küçültme oranına ne denir	Haritaların küçültme oranına denir	DESCRIPTION	DEFINITION	Ölçek		DESCRIPTION
İç kuvvetlerin etkisiyle yeryüzünde oluşan hareketlerin adı nedir	hareketlerin adı	DESCRIPTION	DEFINITION	Tektonik hareket		ENTITY
İçerisinde bitki ve hayvan fosili bulunduran kayaç hangisidir	kayaç	ENTITY	ENTITY	Kırıntı tortul kayaçlar		ENTITY
İki akarsu havzasını birbirinden ayıran sınıra ne ad verilir	sınıra ad	DESCRIPTION	DEFINITION	Su bölümü çizgisi		DESCRIPTION
İlk evcilleştirilen hayvan hangisidir	hayvan	ENTITY	OTHERS	Köpek		ENTITY
İlk para kullanımı hangi uygarlık döneminde olmuştur	hangi uygarlık döneminde	ENTITY	OTHERS	Lidyalılar		HUMAN
İlk şehir yerleşmeleri hangi çağda görülür	hangi çağda	TEMPORAL	ERA	Maden çağı/Kalkolitik çağ		TEMPORAL
İmparatorluklar ilk olarak hangi çağda kurulmuştur	hangi çağda	TEMPORAL	ERA	Maden Çağı/Kalkolitik Çağ		TEMPORAL
İstanbul Boğazı hangi jeolojik dönemde oluşmuştur	hangi jeolojik dönemde	TEMPORAL	ERA	IV. Zaman/Antropozoik/Kuvaterner		TEMPORAL
İstanbul'da güneydoğudan esen rüzgâra ne ad verilir	rüzgâra ad	ENTITY	WIND	Keşişleme		DESCRIPTION
Kara ve denizlerde düşey doğrultudaki alçalma yükselme hareketlerine ne denir	alçalma yükselme hareketlerine denir	DESCRIPTION	DEFINITION	Epirojenez		DESCRIPTION
Karstik mağaralarda oluşan sarkıt ve dikitler hangi kayaç türlerindendir	hangi kayaç türlerindendir	ENTITY	ENTITY	Kimyasal tortul kayaç		ENTITY
Kavimler göçü hangi yıllar arasında olmuştur	hangi yıllar arasında	TEMPORAL	PERIOD	350/800		TEMPORAL
Kılıçkaya barajı hangi ırmağın üzerinde yer almakatadır	hangi ırmağın	ENTITY	RIVER	Yeşilırmak		ENTITY
Kıta bölünmeleri hangi jeolojik zamanda başlamıştır	hangi jeolojik zamanda	TEMPORAL	ERA	II. zaman/Mezezoik		TEMPORAL
Köpek hangi çağda evcilleştirilmiştir	hangi çağda	TEMPORAL	ERA	Mezolitik Çağ/orta taş çağı		TEMPORAL
Lavların ve tüflerin yeryüzüne çıkmak için izledikleri yola ne ad verilir	yola ad	DESCRIPTION	DEFINITION	Volkan bacası		DESCRIPTION
Mendereslerde aşınma kısmına ne ad verilir	aşınma kısmına ad	DESCRIPTION	DEFINITION	Çaprak		DESCRIPTION
Mendereslerde biriktirme kısmına ne ad verilir	biriktirme kısmına ad	DESCRIPTION	DEFINITION	Yığınak		DESCRIPTION
Nil Deltası hangi ülkenin sınırları içerisindedir	hangi ülkenin	LOCATION	COUNTRY	Mısır		LOCATION
Ormanların tahrip edilmesi sonucu oluşan bozkırlara ne denir	bozkırlara denir	DESCRIPTION	DEFINITION	Antropojen Bozkır		DESCRIPTION
Ozon oluşumu hangi katmanda oluşur	hangi katmanda	ENTITY	OTHERS	Mezosfer- Ozonosfer		ENTITY
Pamukkale travertenleri hangi ilin sınırları içerisindedir	hangi ilin	LOCATION	CITY	Denizli		LOCATION
Patamoloji nedir	Patamoloji	DESCRIPTION	DEFINITION	Akarsu bilimi		ENTITY
Rotterdam hangi ülkenin şehridir	hangi ülkenin	LOCATION	COUNTRY	Hollanda		LOCATION
Rüzgârların taşıyarak oluşturdukları topraklara ne ad verilir	topraklara ad	DESCRIPTION	DEFINITION	Lös topraklar		DESCRIPTION
Sakarya nehri hangi denize dökülür	hangi denize	ENTITY	SEA	Karadeniz		ENTITY
Sanayi İnkılâbı ilk olarak hangi ülkede başlamıştır	hangi ülkede	LOCATION	COUNTRY	İngiltere		LOCATION
Sıcak su kaynaklarından yararlanılarak elektrik enerjisi üreten santrallere nedir	santraller	DESCRIPTION	DEFINITION	Jeotermal Santraller		ENTITY
Soma ovasını sulayan ırmağın adı nedir	ırmağın adı	ENTITY	RIVER	Bakırçay		ENTITY
Susurluk çayının diğer adı nedir	Susurluk çayının adı	ENTITY	RIVER	Simav çayı		ENTITY
Suyun kinetik enerjisinden yararlanılarak elektrik üretimi yapılan santrallere ne ad verilir	santrallere ad	DESCRIPTION	DEFINITION	Hidroelektrik Santral		DESCRIPTION
Tarım hayvancılık ve ticari faaliyetler ilk kez hangi çağda başlamıştır	hangi çağda	TEMPORAL	ERA	Yeni taş çağı/Neolitik çağ		TEMPORAL
Taşkömürü yatakları hangi jeolojik zamanda oluşmuştur	hangi jeolojik zamanda	TEMPORAL	ERA	1.Zaman/paleozik		TEMPORAL
Toros Dağları hangi jeolojik zamanda oluşmuştur	hangi jeolojik zamanda	TEMPORAL	ERA	III.Zaman/Tersiyer		TEMPORAL
Tortum çayı hangi akarsuyun bir koludur	hangi akarsuyun	ENTITY	RIVER	Çoruh Nehri		ENTITY
Türkiye arazisinin yüzde kaçı ormanlık alandır	Türkiye arazisinin yüzde kaçı	NUMERIC	PERCENTAGE	0.26		NUMERIC
Türkiye en fazla hangi ülkeye işçi göçü vermiştir	hangi ülkeye	LOCATION	COUNTRY	Almanya		LOCATION
Türkiye'de azonal(taşınmış) topraklar içinde en yaygın olanı hangisidir	azonal(taşınmış) topraklar	ENTITY	ENTITY	Alüvyal topraklar		ENTITY
Türkiye'de çayır ve otlakların en fazla olduğu bölge hangisidir	bölge	LOCATION	REGION.LOCAL	Doğu Anadolu.		LOCATION
Türkiye'de cephesel yağışlar en çok hangi bölgede görülür	hangi bölgede	LOCATION	REGION.LOCAL	Akdeniz.		LOCATION
Türkiye'de ekili dikili alanların en az yer kapladığı bölge hangisidir	bölge	LOCATION	REGION.LOCAL	Doğu Anadolu		LOCATION
Türkiye'de ekili dikili alanların en fazla yer kapladığı bölge hangisidir	bölge	LOCATION	REGION.LOCAL	Marmara.		LOCATION
Türkiye'de en az insan nüfusuna sahip olan şehir hangisidir	şehir	LOCATION	CITY	Bayburt		LOCATION
